lp1,lp2,lp3,rp1,rp2,rp3,lt1,lt2,lt3,rt1,rt2,rt3,time
0.000000, 1.018898, 2.181655, 0.579114, 0.000000, 1.445614, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47156 
0.000000, 0.945780, 2.220264, 0.194750, 0.085288, 1.711944, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47206 
0.000000, 1.167723, 2.202231, 0.354785, 0.212136, 1.231583, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47256 
0.000000, 1.048853, 2.136001, 0.253142, 0.188515, 1.409027, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47306 
0.000000, 1.000418, 2.348823, 0.508830, 0.064693, 1.471799, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47356 
0.000000, 1.326802, 2.016003, 0.440849, 0.081345, 1.463135, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47406 
0.000000, 0.930173, 2.301712, 0.273640, 0.146039, 1.308727, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47456 
0.000000, 1.371682, 1.854178, 0.290839, 0.053379, 1.476770, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47506 
0.000000, 0.931379, 2.207655, 0.273690, 0.102154, 1.479344, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47556 
0.000000, 1.383549, 1.934166, 0.475740, 0.132068, 1.162490, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47606 
0.000000, 0.992762, 2.074568, 0.281414, 0.044171, 1.272584, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47656 
0.000000, 1.216720, 2.250688, 0.428167, 0.168766, 1.154121, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47706 
0.000000, 1.110010, 2.180997, 0.240633, 0.243526, 1.073541, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47756 
0.000000, 0.988770, 2.075811, 0.532040, 0.057051, 1.403488, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47806 
0.000000, 1.159017, 1.881565, 0.231447, 0.151094, 1.345213, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47856 
0.000000, 1.108079, 2.335844, 0.364492, 0.220395, 1.395184, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47906 
0.000000, 1.241205, 2.160386, 0.194924, 0.197828, 1.489093, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 47956 
0.000000, 0.933666, 2.276252, 0.443416, 0.188125, 1.496995, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48006 
0.000000, 1.319184, 2.024817, 0.320202, 0.158609, 1.435038, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48056 
0.000000, 0.807473, 2.317435, 0.424531, 0.162726, 1.353232, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48106 
0.000000, 1.347260, 1.987144, 0.378894, 0.129881, 1.489297, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48156 
0.000000, 1.023710, 2.077595, 0.386320, 0.224355, 1.239920, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48206 
0.000000, 1.067226, 1.978175, 0.572227, 0.004402, 1.408350, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48256 
0.000000, 1.121357, 2.295349, 0.227947, 0.221632, 1.504903, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48306 
0.000000, 1.228438, 2.446794, 0.321119, 0.098605, 1.737685, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48356 
0.000000, 1.201480, 1.814498, 0.306549, 0.079957, 1.280266, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48406 
0.000000, 1.089179, 2.073582, 0.260727, 0.097533, 1.471892, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48456 
0.000000, 1.048534, 2.144716, 0.479830, 0.425416, 1.489189, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48506 
0.000000, 1.071415, 2.198872, 0.157316, 0.154174, 1.509492, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48556 
0.000000, 1.123710, 1.904329, 0.439903, 0.137408, 1.724652, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48606 
0.000000, 1.008569, 2.239898, 0.159475, 0.191314, 1.530171, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48656 
0.000000, 1.251919, 1.946958, 0.528051, 0.299388, 1.520718, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48706 
0.000000, 0.952028, 2.137610, 0.242435, 0.070145, 1.219896, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48756 
0.000000, 1.046307, 2.131014, 0.306008, 0.168885, 1.432245, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48806 
0.000000, 1.242973, 2.362186, 0.244688, 0.325728, 1.583416, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48856 
0.000000, 0.891519, 2.143813, 0.295431, 0.371008, 1.214922, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48906 
