lp1,lp2,lp3,rp1,rp2,rp3,lt1,lt2,lr3,rt1,rt2,rt3,time
0.000000, 0.000000, 1.156538, 0.640478, 0.000000, 0.272298, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 956 
0.000000, 0.000000, 0.946375, 1.043947, 0.000000, 0.221027, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1006 
0.000000, 0.000000, 1.158948, 1.444278, 0.000000, 0.618672, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1056 
0.000000, 0.000000, 1.143443, 0.652127, 0.000000, 0.351596, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1106 
0.000000, 0.000000, 1.007358, 0.827682, 0.000000, 0.307435, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1156 
0.000000, 0.000000, 1.164995, 0.990856, 0.000000, 0.309791, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1206 
0.000000, 0.000000, 1.062704, 0.680898, 0.000000, 0.617316, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1256 
0.000000, 0.000000, 1.079244, 1.057723, 0.000000, 0.259279, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1306 
0.000000, 0.000000, 1.058895, 1.098385, 0.000000, 0.668598, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1356 
0.000000, 0.000000, 1.196919, 0.785708, 0.000000, 0.345342, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1406 
0.000000, 0.000000, 0.917003, 0.587526, 0.000000, 0.315190, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1456 
0.000000, 0.000000, 1.132151, 1.794395, 0.000000, 0.446745, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1506 
0.000000, 0.000000, 0.992277, 0.867216, 0.000000, 0.438896, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1556 
0.000000, 0.000000, 1.054385, 0.936556, 0.000000, 0.218994, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1606 
0.000000, 0.000000, 1.088243, 0.842388, 0.000000, 0.371810, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1656 
0.000000, 0.000000, 1.082566, 1.402165, 0.000000, 0.316164, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1706 
0.000000, 0.000000, 1.192219, 0.725361, 0.000000, 0.631273, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1756 
0.000000, 0.000000, 0.909325, 1.049860, 0.000000, 0.127901, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1806 
0.000000, 0.000000, 1.264325, 0.794614, 0.000000, 0.168062, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1856 
0.000000, 0.000000, 0.931592, 0.805551, 0.000000, 0.236721, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1906 
0.000000, 0.000000, 1.204571, 0.758348, 0.000000, 0.190484, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 1956 
0.000000, 0.000000, 0.880157, 1.608705, 0.000000, 0.487427, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2006 
0.000000, 0.000000, 1.237235, 0.880726, 0.000000, 0.277118, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2056 
0.000000, 0.000000, 1.051918, 0.828839, 0.000000, 0.289993, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2106 
0.000000, 0.000000, 1.132835, 1.094523, 0.000000, 0.138594, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2156 
0.000000, 0.000000, 1.150603, 1.261870, 0.000000, 0.397226, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2206 
0.000000, 0.000000, 1.105676, 0.797815, 0.000000, 0.416342, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2256 
0.000000, 0.000000, 1.241249, 0.721917, 0.000000, 0.381285, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2306 
